color,category,question,answer
White,Events,In what year was the Declaration of Independence signed? (Answer Format: YYYY),1776
White,Events,In what year did the First Continental Congress convene?  (Answer Format: YYYY),1774
White,Events,What protest took place to oppose the taxes imposed on American colonists?,Boston Tea Party
White,Events,"This event, which caused taxes on all forms of paper goods that, was one of the events that led to the Declaration of Independence.",Stamp Act
White,Events,The war that was taking place between the American colonies and Great Britain when the Declaration of Independence was written and signed was known as the American _______?,Revolution
White,Events,The idea of a congress of the American colonies was proposed at the start of this war.,French and Indian War
White,Events,"What year did the first version of the Continental Congress of American colonies, also known as Albany Congress, take place?  (Answer Format: YYYY)",1754
White,Events,Where was the last meeting place of the Continental Congress? ,Fraunces Tavern
White,Events,What year did the first session of the 1st United States Congress takes place?  (Answer Format: YYYY),1789
White,Events,"On March 1st, 1781 the document that was signed by the Second Continental Congress was known as the Articles of _______?",Confederation
White,Events,The massacre of an a crowd of colonists who were pestering British soldiers took place in what city? (Answer Format: Cityname),Boston
White,Events,What year was the Stamp Act Repealed? (Answer Format: YYYY),1766
White,Events,The Coercive acts that closed Boston's port were also commonly referred to as the ________ Acts.,Intolerable
White,Events,What year did Britain declare that the colonies were in rebellion?,1775
White,Events,On what holiday did George Washington cross the Potomac?,Christmas
White,Events,The ____ heard round the world is popularly known as the first battle event during the American Revolution.,Shot
White,Events,What year did the Battle of Lexington occur?,1775
White,Events,"Patrick Henry gave a famous speech during which he said ""Give me Liberty or give me ___"".",Death
White,Events,During which month was the Declaration of Independence actually signed? (Answer Format: Full month name),August
White,Events,What number day in July did the Continental congress actually declare independence.,2
Blue,Places,Where was the Declaration of Independence signed?,Independence Hall
Blue,Places,Where is Thomas Jefferson's original draft of the Declaration of Independence preserved?,Library of Congress
Blue,Places,From which country did the Declaration of Independence declare independence from?,Great Britain
Blue,Places,In what city was the Declaration of Independence signed?,Philadelphia
Blue,Places,In which colony was the Declaration of Independence signed?,Pennsylvania
Blue,Places,Delegates from which colony did not initially sign the Declaration of Independence?,New York
Blue,Places,"The first version of a Continental Congress of American colonies, also known as Albany Congress, met in this city.",Albany
Blue,Places,The First Continental Congress met briefly in this meeting place in 1774.,Carpenter's Hall
Blue,Places,This colony was the only colony that did not meet with the other 12 colonies in the First Continental Congress.,Georgia
Blue,Places,What other city did meetings of the Second Continental Congress take place?,Baltimore
Blue,Places,The treaty that ended American Revolution was signed in the city of ____ in France and was also named after that city.,Paris
Blue,Places,Which colony abstained from voting on the resolution of independence? (Answer Format: Statename),New York
Blue,Places,What colony was the first to officially become a State?,Delaware
Blue,Places,What is the name of the first permanent English settlement in North America?,Jamestown
